area_sqft,bhk,locality,location_type,age_of_property,furnishing,latitude,longitude,price,listing_type
3602,4,Whitefield,URBAN,27,Furnished,12.947710318275599,77.7969068132734,62612,RENT
3956,5,Koramangala,URBAN,9,Semi-Furnished,12.96569701059665,77.5922337271016,117547,RENT
4290,5,Electronic City,URBAN,1,Furnished,12.860571536154557,77.65552314730576,29289219,SALE
1046,3,Whitefield,URBAN,1,Unfurnished,13.038303003195631,77.75046875947258,26453,RENT
3288,4,Koramangala,RURAL,26,Unfurnished,12.90766348641126,77.40038598473743,48855,RENT
2835,3,Indiranagar,URBAN,13,Unfurnished,13.086976266043862,77.79039297103851,23031387,SALE
1000,2,Indiranagar,URBAN,15,Semi-Furnished,13.098114442477874,77.54366372486808,32670,RENT
2763,4,Whitefield,URBAN,6,Semi-Furnished,13.074800162778752,77.53583629655833,62382,RENT
2461,3,Electronic City,URBAN,20,Semi-Furnished,12.825463023444843,77.45802533443707,11838137,SALE
641,1,Indiranagar,URBAN,20,Furnished,12.899954946648808,77.74327376411341,22147,RENT
2441,3,Indiranagar,RURAL,23,Semi-Furnished,13.083541290530755,77.74833581434689,13285857,SALE
3224,4,Electronic City,URBAN,11,Semi-Furnished,13.041359988453332,77.40799559957796,48830,RENT
3012,3,Koramangala,RURAL,27,Semi-Furnished,13.073355076792229,77.42229008834933,45043,RENT
1763,3,Indiranagar,URBAN,22,Semi-Furnished,12.97176595809233,77.76733666425346,47491,RENT
1878,3,HSR Layout,RURAL,27,Unfurnished,12.94411927645626,77.44914725291096,7727428,SALE
2956,4,Bellandur,URBAN,13,Furnished,12.831948895101336,77.64837098558678,68332,RENT
1175,2,Bellandur,RURAL,24,Unfurnished,13.05184146269693,77.64786018006733,5232575,SALE
4414,5,Indiranagar,URBAN,3,Furnished,13.023542464526143,77.74789213404345,50978882,SALE
434,1,Koramangala,URBAN,25,Furnished,12.817662980904624,77.62906164217027,6695225,SALE
3552,5,Koramangala,RURAL,3,Unfurnished,12.862824376878587,77.57360456452426,24679928,SALE
2355,4,Whitefield,URBAN,17,Semi-Furnished,12.967183268994503,77.78975231303642,15969811,SALE
1985,3,HSR Layout,URBAN,2,Unfurnished,13.005320720619391,77.4915261903996,17361026,SALE
4343,5,Koramangala,URBAN,0,Furnished,12.841301079278303,77.50508720707327,153361,RENT
3473,4,Electronic City,RURAL,16,Furnished,12.873447445538698,77.43390786191945,38344,RENT
1421,3,HSR Layout,URBAN,6,Semi-Furnished,12.857933063512705,77.79012672686197,41147,RENT
3861,4,Bellandur,URBAN,29,Unfurnished,12.865999145801164,77.68254408353505,55247,RENT
3013,4,HSR Layout,URBAN,15,Furnished,13.07621393707063,77.40483883499657,25883008,SALE
4243,5,Electronic City,URBAN,29,Unfurnished,13.014745871911627,77.68172561103161,48096,RENT
1900,3,Indiranagar,RURAL,4,Semi-Furnished,13.021132094120992,77.56165444444548,39116,RENT
561,1,Electronic City,URBAN,18,Semi-Furnished,13.038198593260784,77.78701987669413,3680698,SALE
4697,5,Electronic City,URBAN,6,Furnished,12.90697191279322,77.51095500086495,86407,RENT
2381,3,Indiranagar,RURAL,13,Semi-Furnished,13.030155384319743,77.68411453548556,15101114,SALE
1395,2,Indiranagar,URBAN,1,Furnished,13.09352401829688,77.65097366014976,55853,RENT
3742,5,Indiranagar,URBAN,2,Furnished,13.009518273782282,77.40481998995851,121450,RENT
4951,5,Indiranagar,URBAN,16,Semi-Furnished,12.925025933687762,77.75408677173294,44144454,SALE
4198,5,Indiranagar,URBAN,15,Semi-Furnished,13.014907935713293,77.45584506414119,107362,RENT
1675,3,Electronic City,URBAN,7,Unfurnished,13.070238410078861,77.66543551159913,28041,RENT
1416,2,Whitefield,URBAN,17,Unfurnished,12.838628463102793,77.71021938031771,25769,RENT
737,1,Whitefield,URBAN,14,Furnished,12.879588402675417,77.65237105859939,19096,RENT
1278,2,Koramangala,URBAN,6,Unfurnished,13.075788864598671,77.43884554700547,13024361,SALE
1476,3,Whitefield,URBAN,26,Furnished,13.083869870133357,77.79007165450187,31787,RENT
4393,5,Bellandur,URBAN,8,Semi-Furnished,12.945241738135383,77.4947271658085,29466702,SALE
779,1,Whitefield,URBAN,5,Semi-Furnished,12.91236528902099,77.65114590797755,7073022,SALE
892,2,Electronic City,URBAN,17,Unfurnished,12.88483454168091,77.71887122330452,14717,RENT
2462,3,Indiranagar,URBAN,17,Furnished,12.94962546232729,77.7756944039626,25594145,SALE
4284,4,Indiranagar,URBAN,24,Furnished,13.080359345477316,77.64160421170236,109164,RENT
464,1,Electronic City,URBAN,25,Unfurnished,12.844942888227337,77.50362165966526,2660217,SALE
2968,3,Bellandur,URBAN,23,Furnished,12.925949191564166,77.73465560696279,19971221,SALE
2427,3,Whitefield,URBAN,13,Furnished,13.073482357087247,77.46528798638003,17252666,SALE
3095,4,Electronic City,URBAN,13,Semi-Furnished,12.904735781043277,77.40891297122843,16539462,SALE
1895,3,Koramangala,URBAN,13,Furnished,13.030424422113061,77.76325954337696,67023,RENT
791,2,Indiranagar,URBAN,24,Furnished,12.91677793587233,77.63015558322185,27559,RENT
4914,5,HSR Layout,RURAL,3,Furnished,13.041478003496913,77.42785659632453,88131,RENT
4874,5,Koramangala,RURAL,3,Unfurnished,13.094300704987162,77.6318917548492,89861,RENT
3961,5,Bellandur,URBAN,14,Unfurnished,12.916346603172585,77.45800566732899,24251359,SALE
2678,4,Koramangala,URBAN,14,Unfurnished,13.05352959637226,77.41255440255875,67386,RENT
3499,3,Electronic City,URBAN,17,Furnished,13.09652504745209,77.4466096189963,53127,RENT
600,1,Whitefield,URBAN,13,Furnished,13.095149042903376,77.71004297140239,16175,RENT
3504,5,Indiranagar,URBAN,25,Unfurnished,12.930131324459992,77.70226436192544,26731174,SALE
4998,5,Bellandur,URBAN,0,Unfurnished,12.945728336164745,77.64172725396611,32581493,SALE
2854,4,Bellandur,URBAN,9,Furnished,12.8910204684929,77.48373131596513,24348585,SALE
4045,5,HSR Layout,URBAN,28,Furnished,12.89420562911671,77.69558682631812,29684210,SALE
1204,1,Koramangala,URBAN,19,Semi-Furnished,12.94774118678967,77.56321810688603,12372874,SALE
3131,4,HSR Layout,URBAN,9,Unfurnished,12.860155577019293,77.60430144685054,64814,RENT
3173,4,Whitefield,URBAN,9,Furnished,13.013336988846477,77.75905627733053,22784733,SALE
1970,3,Whitefield,URBAN,26,Unfurnished,12.960892560426275,77.58314300949525,31304,RENT
3090,3,HSR Layout,URBAN,23,Unfurnished,13.069420357151984,77.6505464615406,18675183,SALE
4240,5,Indiranagar,URBAN,1,Unfurnished,13.043174730143162,77.78470059673516,37962870,SALE
1428,3,Whitefield,URBAN,28,Semi-Furnished,12.896741333853841,77.5805559595336,8960255,SALE
902,2,HSR Layout,URBAN,27,Furnished,12.9517413869053,77.62429115927708,8578730,SALE
4893,5,Koramangala,URBAN,26,Furnished,13.025154478291633,77.63376584995338,44917260,SALE
1270,2,HSR Layout,URBAN,7,Unfurnished,12.857960038243519,77.4962846235491,10759679,SALE
4888,5,HSR Layout,RURAL,0,Furnished,12.809479318945275,77.69476882491318,96976,RENT
606,1,Electronic City,RURAL,0,Semi-Furnished,13.055691357892485,77.69065481130954,3076273,SALE
1884,4,Whitefield,URBAN,3,Unfurnished,12.841265077247884,77.48542269659828,13855801,SALE
1263,3,Indiranagar,URBAN,6,Semi-Furnished,13.066823429286112,77.40533521793381,44516,RENT
3190,4,Indiranagar,URBAN,8,Semi-Furnished,13.074082407164344,77.79957662822738,28283801,SALE
963,3,Electronic City,RURAL,15,Furnished,12.938210131441148,77.63263509318428,5000124,SALE
4591,5,Bellandur,URBAN,4,Furnished,13.042034513705774,77.47241281695041,112199,RENT
2157,3,Indiranagar,RURAL,1,Semi-Furnished,12.908957373906242,77.51342619300587,41532,RENT
2078,3,HSR Layout,URBAN,27,Furnished,13.057479364553524,77.64711681688364,16305847,SALE
3642,5,Electronic City,URBAN,22,Semi-Furnished,13.047404565250014,77.45504623241924,16409199,SALE
1459,1,Koramangala,RURAL,10,Semi-Furnished,12.82355551691036,77.41491225484359,8917539,SALE
2122,3,Whitefield,URBAN,17,Unfurnished,12.97478052222571,77.71939193378189,11763870,SALE
3714,5,Whitefield,URBAN,24,Semi-Furnished,12.991999671079025,77.68633849774076,22534768,SALE
3557,5,Whitefield,URBAN,24,Semi-Furnished,12.800257187206466,77.5238406592532,19511862,SALE
3025,4,HSR Layout,URBAN,18,Furnished,13.093975495618789,77.42339655110983,74421,RENT
3129,5,Koramangala,URBAN,12,Unfurnished,12.921970272470213,77.59450836433923,79003,RENT
1997,4,Electronic City,URBAN,23,Furnished,12.955202961757765,77.51047451597023,36888,RENT
3460,5,Electronic City,URBAN,10,Unfurnished,12.858441223937907,77.55911168692546,49487,RENT
3093,4,Whitefield,URBAN,19,Furnished,12.98327557325518,77.50958773855024,20322285,SALE
4027,5,Koramangala,RURAL,18,Semi-Furnished,13.043185959883807,77.47010704797037,72928,RENT
1763,3,Koramangala,URBAN,16,Unfurnished,12.975767703715919,77.55479591473456,17892691,SALE
2381,3,Koramangala,URBAN,4,Unfurnished,13.036410513740629,77.78595764939112,22876350,SALE
2063,3,Indiranagar,URBAN,12,Unfurnished,13.01933238821545,77.506491146804,50269,RENT
1929,3,Indiranagar,URBAN,29,Unfurnished,12.871297343458142,77.5343866576188,15265430,SALE
2438,3,Whitefield,URBAN,26,Furnished,12.930743852332746,77.53169681340985,44310,RENT
3702,5,Koramangala,RURAL,19,Furnished,12.844588065330923,77.59211552791622,72344,RENT
2637,4,Bellandur,URBAN,0,Unfurnished,12.812580762522531,77.73740221551711,52474,RENT
1706,3,Koramangala,URBAN,9,Unfurnished,12.81892068657924,77.56084903661986,49969,RENT
4429,5,Electronic City,URBAN,7,Unfurnished,13.082749978961868,77.72245918561322,58090,RENT
3075,4,Electronic City,URBAN,23,Furnished,13.095361237740313,77.44600484377303,15481407,SALE
1682,3,Whitefield,RURAL,28,Unfurnished,12.828493252414953,77.75796288187284,15665,RENT
1109,1,Bellandur,URBAN,7,Unfurnished,12.900558030551615,77.47412163340958,8590146,SALE
4813,4,Koramangala,URBAN,18,Unfurnished,12.834326204046807,77.41568059963302,34274117,SALE
4148,5,Bellandur,URBAN,5,Furnished,13.050268647010691,77.46334179215083,32081312,SALE
1063,3,Whitefield,URBAN,11,Semi-Furnished,12.948889127492084,77.47629991651627,8504526,SALE
2398,3,Electronic City,URBAN,27,Semi-Furnished,12.986378526777665,77.60340165104535,32463,RENT
3845,5,Electronic City,URBAN,6,Furnished,12.961973259720502,77.57997531710123,23494578,SALE
4143,5,Indiranagar,URBAN,15,Semi-Furnished,13.013076075152215,77.68634976677268,102126,RENT
1895,3,Whitefield,URBAN,8,Unfurnished,12.895739672995118,77.42038043431747,12804723,SALE
3704,5,Whitefield,URBAN,20,Unfurnished,12.84124800635901,77.59908250055044,57431,RENT
4163,5,Koramangala,RURAL,24,Furnished,12.805286000818915,77.53298849076936,80267,RENT
2253,2,Koramangala,RURAL,21,Furnished,12.933707866587781,77.65228253283641,42133,RENT
1691,3,Indiranagar,URBAN,9,Semi-Furnished,13.07235032863743,77.41747988965001,50487,RENT
3981,4,HSR Layout,URBAN,9,Semi-Furnished,12.89157996140368,77.41397392356727,99755,RENT
3857,5,Bellandur,URBAN,9,Unfurnished,12.858787046340687,77.57090064055852,25724186,SALE
2036,3,HSR Layout,URBAN,19,Furnished,13.077812823874131,77.72453579168061,17641660,SALE
4096,5,HSR Layout,URBAN,28,Semi-Furnished,12.831634591625388,77.66843762565411,25314078,SALE
3399,4,Whitefield,URBAN,15,Semi-Furnished,12.815540310024744,77.40668243676463,18429576,SALE
3552,5,Bellandur,RURAL,0,Unfurnished,13.063823952486631,77.47138883768565,53530,RENT
1098,3,Whitefield,RURAL,16,Unfurnished,13.010272814586406,77.49069258580698,5633852,SALE
2560,5,Bellandur,URBAN,29,Unfurnished,12.926620591441225,77.56922357101809,15458584,SALE
4497,4,Electronic City,URBAN,25,Unfurnished,13.025703191902652,77.63468627356872,16543400,SALE
1254,2,Whitefield,URBAN,20,Semi-Furnished,13.02243198561328,77.48658406955892,8210481,SALE
3874,5,Whitefield,URBAN,28,Furnished,12.812018168978176,77.55300568978892,23551783,SALE
2107,3,Whitefield,URBAN,13,Furnished,13.002874043618553,77.6335773575975,47480,RENT
3177,4,Indiranagar,URBAN,18,Unfurnished,12.992261713235814,77.55337412156067,73525,RENT
2133,4,Whitefield,RURAL,20,Unfurnished,13.089133740924892,77.45726776855386,8403503,SALE
3910,5,Koramangala,URBAN,20,Semi-Furnished,13.089986783047928,77.59666445021529,97966,RENT
602,1,Koramangala,URBAN,16,Unfurnished,12.913339797860614,77.52959767838152,6559819,SALE
3655,5,Bellandur,URBAN,13,Furnished,12.976952573566466,77.74567534502194,89886,RENT
4618,5,Electronic City,URBAN,7,Unfurnished,12.842407212466513,77.71024996323753,73939,RENT
4896,5,Indiranagar,URBAN,20,Furnished,12.81993695778714,77.47611003689347,42642731,SALE
1166,2,Bellandur,RURAL,20,Unfurnished,12.929833961677671,77.46105431653234,15464,RENT
4789,5,Koramangala,URBAN,8,Unfurnished,13.006964603250504,77.53907066932581,41543076,SALE
2727,4,Indiranagar,URBAN,7,Furnished,12.970328336689319,77.56486980017743,31077092,SALE
3331,4,Indiranagar,URBAN,12,Semi-Furnished,12.928897076655801,77.77280726052989,91480,RENT
597,1,Electronic City,URBAN,16,Semi-Furnished,13.045433764032378,77.52064829483413,10974,RENT
2330,4,Indiranagar,RURAL,18,Unfurnished,13.038328241655124,77.7470337411874,33388,RENT
3982,5,Whitefield,URBAN,27,Unfurnished,13.019582616523328,77.60212371174148,58883,RENT
1008,2,Indiranagar,RURAL,6,Furnished,12.82310967444613,77.75424949022296,8922381,SALE
3672,5,Electronic City,URBAN,16,Furnished,13.038940888368693,77.68078151093144,20334390,SALE
1547,2,Bellandur,URBAN,0,Unfurnished,13.07582639479841,77.68335558724375,11751373,SALE
4682,4,Electronic City,URBAN,4,Furnished,12.817832626487276,77.60751899499846,28626904,SALE
3797,5,Electronic City,URBAN,24,Semi-Furnished,12.92050141664256,77.73612161663125,16334362,SALE
2911,4,Koramangala,URBAN,5,Semi-Furnished,13.096506646914976,77.50176992209668,30137069,SALE
2194,3,Whitefield,URBAN,25,Furnished,12.979771657540486,77.76294050860675,38987,RENT
1059,3,Koramangala,URBAN,1,Furnished,12.95407322063824,77.65471034201438,16277186,SALE
3211,4,Bellandur,URBAN,26,Furnished,12.853233844240624,77.57548356059701,22481699,SALE
1769,3,HSR Layout,URBAN,24,Semi-Furnished,12.96964588500025,77.79287596136622,35173,RENT
2386,3,Bellandur,URBAN,15,Unfurnished,12.931712978140837,77.74480564276466,46851,RENT
546,1,Whitefield,URBAN,21,Furnished,12.838232916671037,77.70880840513269,4524151,SALE
3619,5,Indiranagar,URBAN,4,Furnished,12.939299795785411,77.50956098842758,41202153,SALE
3311,4,Electronic City,URBAN,4,Furnished,12.84931979155258,77.78949628017295,62977,RENT
2134,3,HSR Layout,URBAN,11,Unfurnished,13.019199086517817,77.69719500113038,16551097,SALE
2243,3,Whitefield,URBAN,2,Furnished,13.092094509843086,77.64208691361162,57560,RENT
888,3,Koramangala,URBAN,29,Furnished,12.94087311452771,77.76871969160533,31532,RENT
3376,4,Electronic City,URBAN,15,Semi-Furnished,12.989710499574384,77.46487267277166,48256,RENT
2359,3,Bellandur,URBAN,5,Furnished,12.929292657430054,77.45560642110571,21656016,SALE
2785,4,Koramangala,RURAL,14,Semi-Furnished,12.841536156097103,77.6254853657563,18338002,SALE
3319,4,Whitefield,URBAN,14,Unfurnished,13.091166585942648,77.42268543865325,54235,RENT
2202,3,Whitefield,URBAN,28,Furnished,12.838873599225224,77.66559474474681,40775,RENT
4461,5,Bellandur,URBAN,15,Furnished,12.833488042554063,77.49629645524625,33482336,SALE
3769,5,HSR Layout,URBAN,19,Semi-Furnished,12.93775188250139,77.44761063117723,26085645,SALE
662,1,Bellandur,RURAL,12,Unfurnished,12.99766617973008,77.56379833991659,3478898,SALE
1023,2,Indiranagar,URBAN,11,Unfurnished,12.906476981291867,77.58637985054622,30391,RENT
1416,2,Koramangala,RURAL,9,Semi-Furnished,12.857755106659072,77.46819394555843,28638,RENT
4043,5,HSR Layout,RURAL,13,Unfurnished,13.045689010408243,77.41661410838246,57053,RENT
2449,2,Electronic City,URBAN,1,Unfurnished,12.908930996182866,77.56562223649553,12214662,SALE
4123,4,Indiranagar,URBAN,28,Unfurnished,12.858296292015172,77.70381053439537,68700,RENT
4948,5,HSR Layout,URBAN,2,Unfurnished,12.909525463252061,77.74967990824041,111097,RENT
3508,5,Koramangala,URBAN,8,Unfurnished,12.864366262292839,77.43901931765164,82657,RENT
4490,5,Whitefield,URBAN,10,Unfurnished,12.955834321343703,77.6098701852045,24818750,SALE
2456,3,Electronic City,URBAN,10,Unfurnished,13.00048681584131,77.50536119552255,39135,RENT
3570,5,Bellandur,URBAN,24,Unfurnished,13.039867213159756,77.54985354784115,61821,RENT
2082,3,Koramangala,URBAN,21,Furnished,12.86826860909596,77.77337673190397,22687448,SALE
2655,4,Indiranagar,URBAN,9,Semi-Furnished,12.850086201711335,77.54082990917826,71066,RENT
1554,3,Indiranagar,RURAL,25,Unfurnished,12.805881026268567,77.54613837207134,8149357,SALE
4899,5,Whitefield,URBAN,13,Semi-Furnished,12.868426330504173,77.483758330298,31767251,SALE
3591,5,Whitefield,RURAL,8,Unfurnished,12.807171605749339,77.78400736721034,44659,RENT
2096,3,Electronic City,URBAN,19,Unfurnished,12.903642261106718,77.58259494266412,10051794,SALE
4391,5,Bellandur,URBAN,26,Furnished,12.843707926649012,77.62815685362271,92150,RENT
2048,3,Electronic City,URBAN,20,Semi-Furnished,12.973968679468335,77.58126723692057,10486159,SALE
1845,3,Whitefield,URBAN,9,Semi-Furnished,12.915118027847383,77.50116763070555,36504,RENT
4599,4,Whitefield,URBAN,21,Furnished,12.828075602321228,77.7241650452564,29407452,SALE
4323,5,Indiranagar,URBAN,28,Furnished,12.919959938910978,77.41138849035073,35044075,SALE
653,1,Whitefield,RURAL,8,Semi-Furnished,12.862804434790355,77.67609737203668,3437214,SALE
3583,4,HSR Layout,URBAN,28,Unfurnished,13.004053205402032,77.63770912423975,61679,RENT
2957,4,Koramangala,URBAN,4,Unfurnished,12.909330873431223,77.4577122602755,89261,RENT
498,1,Whitefield,RURAL,7,Semi-Furnished,12.844109002764544,77.46636201772029,9125,RENT
2600,3,Electronic City,URBAN,10,Unfurnished,12.904880519721287,77.66369023516035,12728746,SALE
3361,5,Bellandur,URBAN,0,Furnished,12.867313500179057,77.52485551666531,28285227,SALE
4833,5,Bellandur,URBAN,20,Furnished,13.038733700491516,77.50629523126628,104701,RENT
4177,5,Bellandur,RURAL,9,Furnished,13.095010268109483,77.42366243821492,69196,RENT
3269,4,HSR Layout,URBAN,0,Semi-Furnished,12.807647416708932,77.70659323572912,29045941,SALE
3634,5,Electronic City,URBAN,25,Semi-Furnished,13.007006041194584,77.75306877412025,15110128,SALE
4191,4,HSR Layout,URBAN,29,Semi-Furnished,12.879187350087047,77.7279377406903,22975666,SALE
1356,2,Whitefield,RURAL,21,Unfurnished,12.81992259316079,77.58641364780001,16854,RENT
4467,5,Koramangala,URBAN,6,Semi-Furnished,12.80430539287559,77.61358256343223,42615789,SALE
560,1,Bellandur,RURAL,27,Semi-Furnished,13.064302900763728,77.49691047759389,8548,RENT
4893,5,Electronic City,URBAN,13,Furnished,12.90608195062334,77.46914189576752,25847669,SALE
1700,3,Bellandur,URBAN,4,Unfurnished,13.09836316762718,77.72920046995654,34202,RENT
4387,5,HSR Layout,URBAN,16,Unfurnished,12.932713150289064,77.71933766421793,29361005,SALE
1927,3,Indiranagar,URBAN,21,Furnished,12.856279325531412,77.71094393137476,19605828,SALE
1618,3,Whitefield,RURAL,25,Unfurnished,13.033143070556763,77.58534372255906,16169,RENT
4896,5,Koramangala,URBAN,20,Semi-Furnished,13.07794766491019,77.74580310433782,43519677,SALE
3504,5,Whitefield,URBAN,5,Unfurnished,13.044686309232647,77.77049282774033,21942157,SALE
3135,4,Indiranagar,URBAN,15,Furnished,13.023559770208259,77.53133773786138,29559291,SALE
4955,5,Koramangala,URBAN,10,Unfurnished,12.900409908355751,77.48987779671215,117122,RENT
1354,2,Indiranagar,URBAN,9,Furnished,12.819347109168513,77.5857052123104,16538279,SALE
4965,5,Whitefield,URBAN,14,Semi-Furnished,12.860389804568028,77.47173054266985,78830,RENT
3846,5,HSR Layout,URBAN,6,Semi-Furnished,12.93404307627422,77.75360115405596,29754858,SALE
1445,3,Whitefield,URBAN,22,Furnished,13.08685996100432,77.53519620003111,11118799,SALE
2093,3,Whitefield,URBAN,1,Semi-Furnished,13.016856253902606,77.63046871461623,47266,RENT
3836,5,Whitefield,URBAN,11,Semi-Furnished,13.048484913550475,77.63788779836285,69131,RENT
962,2,Electronic City,URBAN,18,Unfurnished,12.883188169071943,77.60599515213836,15954,RENT
2885,4,Indiranagar,URBAN,11,Semi-Furnished,13.005146908236052,77.46261028376924,74214,RENT
3754,4,Indiranagar,URBAN,15,Furnished,13.058731443013398,77.79640025603734,104548,RENT
625,1,Bellandur,RURAL,5,Semi-Furnished,12.943823454468976,77.46904129169646,11633,RENT
1359,2,Indiranagar,URBAN,2,Unfurnished,12.928967558069228,77.70060294422836,13459907,SALE
4948,5,Bellandur,RURAL,1,Furnished,13.015821354029534,77.71654514962206,28324315,SALE
3467,4,Electronic City,RURAL,19,Semi-Furnished,12.967973505873424,77.45806548334451,10713409,SALE
1215,2,HSR Layout,URBAN,4,Semi-Furnished,13.097951324958213,77.77326540461995,11521042,SALE
3520,5,Bellandur,URBAN,10,Semi-Furnished,12.92753084021857,77.5951035050511,74932,RENT
416,1,Whitefield,RURAL,25,Furnished,12.852782983197496,77.65155318342707,2745313,SALE
1643,3,HSR Layout,URBAN,24,Unfurnished,12.941580515835893,77.65687442241392,11026128,SALE
2605,4,Electronic City,URBAN,2,Furnished,12.87056149792932,77.60198205023693,18399340,SALE
2924,4,Indiranagar,URBAN,2,Furnished,12.96837614623835,77.45680881764847,100128,RENT
1469,2,Bellandur,URBAN,21,Unfurnished,12.837739097731385,77.70070134315652,27287,RENT
3844,5,Whitefield,URBAN,4,Furnished,13.084992882064755,77.6327143340494,31862012,SALE
2965,4,Koramangala,URBAN,21,Furnished,13.057946864462048,77.44747224610296,81850,RENT
1460,2,Koramangala,URBAN,22,Semi-Furnished,12.846669619132662,77.68012878745344,13969275,SALE
2727,4,HSR Layout,URBAN,10,Furnished,12.851717876824104,77.6811053043226,73262,RENT
3820,5,Indiranagar,URBAN,2,Semi-Furnished,12.953731602346405,77.61939457843836,36531962,SALE
701,2,Koramangala,URBAN,12,Furnished,13.031864416112517,77.43621952411664,32121,RENT
4676,5,HSR Layout,URBAN,20,Semi-Furnished,12.865723800700259,77.5410576124547,31058263,SALE
1006,2,Electronic City,RURAL,7,Semi-Furnished,12.81829151586786,77.42036964305069,4487431,SALE
3570,5,HSR Layout,URBAN,19,Semi-Furnished,12.963660282974784,77.59103840753056,64903,RENT
1099,2,HSR Layout,URBAN,9,Unfurnished,13.007479134230604,77.76257885275761,28301,RENT
1539,4,HSR Layout,URBAN,1,Furnished,12.873309647387815,77.40090119304517,60616,RENT
590,1,Whitefield,URBAN,3,Furnished,13.021930336325191,77.50665546121697,18050,RENT
2700,4,HSR Layout,URBAN,17,Furnished,13.085193135483383,77.71994364045923,22925558,SALE
1380,2,Bellandur,RURAL,18,Unfurnished,12.841122332805643,77.40394433352864,5928685,SALE
3375,4,HSR Layout,URBAN,3,Semi-Furnished,12.95330871959261,77.4040693748184,29352694,SALE
1584,3,Whitefield,RURAL,19,Furnished,12.817052585204475,77.64432743443776,7919403,SALE
3727,5,Whitefield,URBAN,25,Unfurnished,12.861998302169216,77.71567990271943,19299634,SALE
3794,5,Electronic City,URBAN,8,Unfurnished,12.826945806038323,77.71060216698666,20214555,SALE
527,1,Indiranagar,URBAN,15,Furnished,12.92120198692406,77.71183120829971,7387239,SALE
2465,4,Koramangala,RURAL,25,Semi-Furnished,13.046249537112427,77.54440253792707,14222273,SALE
2216,3,Koramangala,URBAN,5,Unfurnished,12.973139135156535,77.75308965770978,60147,RENT
969,2,HSR Layout,URBAN,24,Furnished,12.86677545114963,77.4051342405587,8791580,SALE
2295,3,Electronic City,RURAL,3,Semi-Furnished,12.812033194128718,77.52487549470892,25936,RENT
3133,4,HSR Layout,URBAN,8,Unfurnished,12.966019458586025,77.53487507793416,63156,RENT
4263,5,Koramangala,URBAN,26,Unfurnished,12.839839014497171,77.46622845032782,94962,RENT
